flyID,in:roomHeight,in:roomWidth,in:roomDepth,in:winWidth,in:winBottom,in:winTop,in:obstruct,out:Norm,out:100lux,out:300lux,out:TotalArea,out:WinWidth,out:WinHeight
roomHeight2750_roomWidth3000_roomDepth3000_winWidth50_winBottom0_winTop2750_obstruct0,2750,3000,3000,50,0,2750,0,True,100,93.8,9,1500,2730
roomHeight2750_roomWidth3000_roomDepth3000_winWidth50_winBottom0_winTop2750_obstruct1000,2750,3000,3000,50,0,2750,1000,True,100,68.8,9,1500,2730
roomHeight2750_roomWidth3000_roomDepth3000_winWidth50_winBottom0_winTop2750_obstruct1330,2750,3000,3000,50,0,2750,1330,True,100,56.3,9,1500,2730
roomHeight2750_roomWidth3000_roomDepth3000_winWidth50_winBottom0_winTop2750_obstruct1670,2750,3000,3000,50,0,2750,1670,False,100,46.9,9,1500,2730
roomHeight2750_roomWidth3000_roomDepth3000_winWidth50_winBottom0_winTop2750_obstruct2000,2750,3000,3000,50,0,2750,2000,False,100,40.6,9,1500,2730
roomHeight2750_roomWidth3000_roomDepth3000_winWidth50_winBottom0_winTop2600_obstruct0,2750,3000,3000,50,0,2600,0,True,100,84.4,9,1500,2590
roomHeight2750_roomWidth3000_roomDepth3000_winWidth50_winBottom0_winTop2600_obstruct1000,2750,3000,3000,50,0,2600,1000,True,100,68.8,9,1500,2590
roomHeight2750_roomWidth3000_roomDepth3000_winWidth50_winBottom0_winTop2600_obstruct1330,2750,3000,3000,50,0,2600,1330,True,100,56.3,9,1500,2590
roomHeight2750_roomWidth3000_roomDepth3000_winWidth50_winBottom0_winTop2600_obstruct1670,2750,3000,3000,50,0,2600,1670,False,100,48.4,9,1500,2590
roomHeight2750_roomWidth3000_roomDepth3000_winWidth50_winBottom0_winTop2600_obstruct2000,2750,3000,3000,50,0,2600,2000,False,100,42.2,9,1500,2590
roomHeight2750_roomWidth3000_roomDepth3000_winWidth50_winBottom0_winTop2300_obstruct0,2750,3000,3000,50,0,2300,0,True,100,68.8,9,1500,2290
roomHeight2750_roomWidth3000_roomDepth3000_winWidth50_winBottom0_winTop2300_obstruct1000,2750,3000,3000,50,0,2300,1000,True,100,62.5,9,1500,2290
roomHeight2750_roomWidth3000_roomDepth3000_winWidth50_winBottom0_winTop2300_obstruct1330,2750,3000,3000,50,0,2300,1330,True,100,53.1,9,1500,2290
roomHeight2750_roomWidth3000_roomDepth3000_winWidth50_winBottom0_winTop2300_obstruct1670,2750,3000,3000,50,0,2300,1670,False,100,45.3,9,1500,2290
roomHeight2750_roomWidth3000_roomDepth3000_winWidth50_winBottom0_winTop2300_obstruct2000,2750,3000,3000,50,0,2300,2000,False,100,35.9,9,1500,2290
roomHeight2750_roomWidth3000_roomDepth3000_winWidth50_winBottom0_winTop2000_obstruct0,2750,3000,3000,50,0,2000,0,False,100,46.9,9,1500,1990
roomHeight2750_roomWidth3000_roomDepth3000_winWidth50_winBottom0_winTop2000_obstruct1000,2750,3000,3000,50,0,2000,1000,False,100,46.9,9,1500,1990
roomHeight2750_roomWidth3000_roomDepth3000_winWidth50_winBottom0_winTop2000_obstruct1330,2750,3000,3000,50,0,2000,1330,False,100,45.3,9,1500,1990
roomHeight2750_roomWidth3000_roomDepth3000_winWidth50_winBottom0_winTop2000_obstruct1670,2750,3000,3000,50,0,2000,1670,False,100,37.5,9,1500,1990
roomHeight2750_roomWidth3000_roomDepth3000_winWidth50_winBottom0_winTop2000_obstruct2000,2750,3000,3000,50,0,2000,2000,False,100,28.1,9,1500,1990
roomHeight2750_roomWidth3000_roomDepth4000_winWidth90_winBottom900_winTop2750_obstruct0,2750,3000,4000,90,900,2750,0,True,100,84.4,12,2700,1840
roomHeight2750_roomWidth3000_roomDepth4000_winWidth90_winBottom900_winTop2750_obstruct1000,2750,3000,4000,90,900,2750,1000,True,100,67.7,12,2700,1840
roomHeight2750_roomWidth3000_roomDepth4000_winWidth90_winBottom900_winTop2750_obstruct1330,2750,3000,4000,90,900,2750,1330,True,100,63.5,12,2700,1840
