flyID,in:SpanT1,in:SpanT2,in:RijwonenAandeelPlint,in:TypeWoningen,in:SociaalOplossing,in:Verdiepingen,in:Toren1AandeelPlint,in:Toren2AandeelPlint,out:grw,out:socgrw,out:midgrw,out:koopgrw,out:pp,out:socprc,out:midprc,out:koopprc,out:GO,out:GOsoc,out:GOmid,out:GOkoop,out:BVO,out:BVOsoc,out:BVOmid,out:BVOkoop,out:t1bon,out:t2bon,out:Soc49,out:Soc50,out:mid59,out:mid69,out:koop79,out:koop89,out:koop109,out:koop129,out:koop131,out:GGW3LAPP,out:GGW4LAPP,out:WoningenTotaal
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintWonen_TypeWoningenGGW_SociaalOplossingBeneden_VerdiepingenVier_Toren1AandeelPlintcommercieel_Toren2AandeelPlintwonen,Vijf,Vijf,Wonen,GGW,Beneden,Vier,commercieel,wonen,12.2,1.1,3,8.1,245.1,31,31,36,18023,3480,4428,10115,25166,4854,6246,14066,3,0,66,6,18,54,0,0,26,39,0,0,17,226
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintWonen_TypeWoningenGGW_SociaalOplossingBeneden_VerdiepingenVier_Toren1AandeelPlinthalf_Toren2AandeelPlintcommercieel,Vijf,Vijf,Wonen,GGW,Beneden,Vier,half,commercieel,12.7,1.1,3,8.6,252.4,31,31,37,18618,3480,4428,10710,26027,4854,6246,14927,1,3,66,6,18,54,0,0,28,42,0,0,17,231
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintWonen_TypeWoningenGGW_SociaalOplossingBeneden_VerdiepingenVier_Toren1AandeelPlinthalf_Toren2AandeelPlintwonen,Vijf,Vijf,Wonen,GGW,Beneden,Vier,half,wonen,11.4,1.1,2.7,7.6,229.3,33,30,36,16936,3480,3936,9520,23611,4854,5552,13205,1,0,66,6,16,48,0,0,24,36,0,0,17,213
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintWonen_TypeWoningenPortiekAppartementen_SociaalOplossingToren_VerdiepingenDrie_Toren1AandeelPlintcommercieel_Toren2AandeelPlintcommercieel,Vijf,Vijf,Wonen,PortiekAppartementen,Toren,Drie,commercieel,commercieel,12.8,1,3.7,8,267.2,26,36,37,18473,3192,5496,9785,26309,4438,7760,14111,3,3,34,30,8,80,24,0,26,39,0,2,0,243
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintWonen_TypeWoningenPortiekAppartementen_SociaalOplossingToren_VerdiepingenDrie_Toren1AandeelPlintcommercieel_Toren2AandeelPlintwonen,Vijf,Vijf,Wonen,PortiekAppartementen,Toren,Drie,commercieel,wonen,11.6,1,3.2,7.3,239.5,29,34,36,16829,3192,4752,8885,23951,4438,6710,12803,3,0,34,30,6,70,12,0,26,39,0,2,0,219
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintWonen_TypeWoningenPortiekAppartementen_SociaalOplossingToren_VerdiepingenDrie_Toren1AandeelPlinthalf_Toren2AandeelPlintcommercieel,Vijf,Vijf,Wonen,PortiekAppartementen,Toren,Drie,half,commercieel,11.9,1,3.5,7.4,253.7,27,35,37,17367,3192,5130,9045,24725,4438,7244,13043,1,3,34,30,6,76,30,0,22,33,0,2,0,233
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintWonen_TypeWoningenPortiekAppartementen_SociaalOplossingToren_VerdiepingenDrie_Toren1AandeelPlinthalf_Toren2AandeelPlintwonen,Vijf,Vijf,Wonen,PortiekAppartementen,Toren,Drie,half,wonen,10.9,0.9,3.3,6.7,228.4,26,37,35,15807,2784,4878,8145,22495,3872,6888,11735,1,0,32,24,6,72,18,0,22,33,0,2,0,209
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintWonen_TypeWoningenPortiekAppartementen_SociaalOplossingToren_VerdiepingenVier_Toren1AandeelPlintcommercieel_Toren2AandeelPlintcommercieel,Vijf,Vijf,Wonen,PortiekAppartementen,Toren,Vier,commercieel,commercieel,13.8,1.2,3.9,8.7,291.8,26,34,38,20063,3576,5772,10715,28581,4974,8152,15455,3,3,42,30,4,88,36,0,26,39,0,0,2,267
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintWonen_TypeWoningenPortiekAppartementen_SociaalOplossingToren_VerdiepingenVier_Toren1AandeelPlintcommercieel_Toren2AandeelPlintwonen,Vijf,Vijf,Wonen,PortiekAppartementen,Toren,Vier,commercieel,wonen,12.5,1.2,3.7,7.7,263,29,35,34,18335,3576,5394,9365,26085,4974,7618,13493,3,0,42,30,4,82,18,0,26,39,0,0,2,243
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintWonen_TypeWoningenPortiekAppartementen_SociaalOplossingToren_VerdiepingenVier_Toren1AandeelPlinthalf_Toren2AandeelPlintcommercieel,Vijf,Vijf,Wonen,PortiekAppartementen,Toren,Vier,half,commercieel,12.8,1.2,3.9,7.7,277.2,28,35,36,18873,3576,5772,9525,26859,4974,8152,13733,1,3,42,30,4,88,36,0,22,33,0,0,2,257
