flyID,in:Type,in:Length,in:Width,in:Size,in:Layout,out:Efficiency,out:AptSize,out:AptCount
TypeGallery_Length225_Width535_Size3room_LayoutC,Gallery,225,535,3room,C,53.43,84.15,1
TypeGallery_Length225_Width585_SizeStudio_LayoutA,Gallery,225,585,Studio,A,54.4,45.9,2
TypeGallery_Length225_Width585_SizeStudio_LayoutB,Gallery,225,585,Studio,B,54.4,45.9,2
TypeGallery_Length225_Width585_SizeStudio_LayoutC,Gallery,225,585,Studio,C,54.4,45.9,2
TypeGallery_Length225_Width585_Size2room_LayoutA,Gallery,225,585,2room,A,54.4,91.8,1
TypeGallery_Length225_Width585_Size2room_LayoutB,Gallery,225,585,2room,B,54.4,91.8,1
TypeGallery_Length225_Width585_Size2room_LayoutC,Gallery,225,585,2room,C,54.4,91.8,1
TypeGallery_Length225_Width585_Size3room_LayoutA,Gallery,225,585,3room,A,54.4,91.8,1
TypeGallery_Length225_Width585_Size3room_LayoutB,Gallery,225,585,3room,B,54.4,91.8,1
TypeGallery_Length225_Width585_Size3room_LayoutC,Gallery,225,585,3room,C,54.4,91.8,1
TypeGallery_Length225_Width635_SizeStudio_LayoutA,Gallery,225,635,Studio,A,61.75,55.58,2
TypeGallery_Length225_Width635_SizeStudio_LayoutB,Gallery,225,635,Studio,B,61.75,55.58,2
TypeGallery_Length225_Width635_SizeStudio_LayoutC,Gallery,225,635,Studio,C,61.75,55.58,2
TypeGallery_Length225_Width635_Size2room_LayoutA,Gallery,225,635,2room,A,61.75,55.58,2
TypeGallery_Length225_Width635_Size2room_LayoutB,Gallery,225,635,2room,B,61.75,55.58,2
TypeGallery_Length225_Width635_Size2room_LayoutC,Gallery,225,635,2room,C,61.75,55.58,2
TypeGallery_Length225_Width635_Size3room_LayoutA,Gallery,225,635,3room,A,61.75,111.15,1
TypeGallery_Length225_Width635_Size3room_LayoutB,Gallery,225,635,3room,B,61.75,111.15,1
TypeGallery_Length225_Width635_Size3room_LayoutC,Gallery,225,635,3room,C,61.75,111.15,1
TypeGallery_Length225_Width685_SizeStudio_LayoutA,Gallery,225,685,Studio,A,62.59,59.85,2
TypeGallery_Length225_Width685_SizeStudio_LayoutB,Gallery,225,685,Studio,B,62.59,59.85,2
TypeGallery_Length225_Width685_SizeStudio_LayoutC,Gallery,225,685,Studio,C,62.59,59.85,2
TypeGallery_Length225_Width685_Size2room_LayoutA,Gallery,225,685,2room,A,62.59,59.85,2
TypeGallery_Length225_Width685_Size2room_LayoutB,Gallery,225,685,2room,B,62.59,59.85,2
TypeGallery_Length225_Width685_Size2room_LayoutC,Gallery,225,685,2room,C,62.59,59.85,2
TypeGallery_Length225_Width685_Size3room_LayoutA,Gallery,225,685,3room,A,62.59,119.7,1
TypeGallery_Length225_Width685_Size3room_LayoutB,Gallery,225,685,3room,B,62.59,119.7,1
TypeGallery_Length225_Width685_Size3room_LayoutC,Gallery,225,685,3room,C,62.59,119.7,1
TypeGallery_Length225_Width735_SizeStudio_LayoutA,Gallery,225,735,Studio,A,63.33,42.75,3
TypeGallery_Length225_Width735_SizeStudio_LayoutB,Gallery,225,735,Studio,B,63.33,42.75,3
TypeGallery_Length225_Width735_SizeStudio_LayoutC,Gallery,225,735,Studio,C,63.33,42.75,3
TypeGallery_Length225_Width735_Size2room_LayoutA,Gallery,225,735,2room,A,63.33,64.13,2
TypeGallery_Length225_Width735_Size2room_LayoutB,Gallery,225,735,2room,B,63.33,64.13,2
TypeGallery_Length225_Width735_Size2room_LayoutC,Gallery,225,735,2room,C,63.33,64.13,2
TypeGallery_Length225_Width735_Size3room_LayoutA,Gallery,225,735,3room,A,63.33,128.25,1
TypeGallery_Length225_Width735_Size3room_LayoutB,Gallery,225,735,3room,B,63.33,128.25,1
TypeGallery_Length225_Width735_Size3room_LayoutC,Gallery,225,735,3room,C,63.33,128.25,1
TypeGallery_Length250_Width535_SizeStudio_LayoutA,Gallery,250,535,Studio,A,56.12,49.11,2
TypeGallery_Length250_Width535_SizeStudio_LayoutB,Gallery,250,535,Studio,B,56.12,49.11,2
TypeGallery_Length250_Width535_SizeStudio_LayoutC,Gallery,250,535,Studio,C,56.12,49.11,2
TypeGallery_Length250_Width535_Size2room_LayoutA,Gallery,250,535,2room,A,56.12,49.11,2
TypeGallery_Length250_Width535_Size2room_LayoutB,Gallery,250,535,2room,B,56.12,49.11,2
TypeGallery_Length250_Width535_Size2room_LayoutC,Gallery,250,535,2room,C,56.12,49.11,2
TypeGallery_Length250_Width535_Size3room_LayoutA,Gallery,250,535,3room,A,56.12,98.21,1
TypeGallery_Length250_Width535_Size3room_LayoutB,Gallery,250,535,3room,B,56.12,98.21,1
TypeGallery_Length250_Width535_Size3room_LayoutC,Gallery,250,535,3room,C,56.12,98.21,1
TypeGallery_Length250_Width585_SizeStudio_LayoutA,Gallery,250,585,Studio,A,57.14,53.57,2
TypeGallery_Length250_Width585_SizeStudio_LayoutB,Gallery,250,585,Studio,B,57.14,53.57,2
TypeGallery_Length250_Width585_SizeStudio_LayoutC,Gallery,250,585,Studio,C,57.14,53.57,2
TypeGallery_Length250_Width585_Size2room_LayoutA,Gallery,250,585,2room,A,57.14,53.57,2
TypeGallery_Length250_Width585_Size2room_LayoutB,Gallery,250,585,2room,B,57.14,53.57,2
TypeGallery_Length250_Width585_Size2room_LayoutC,Gallery,250,585,2room,C,57.14,53.57,2
TypeGallery_Length250_Width585_Size3room_LayoutA,Gallery,250,585,3room,A,57.14,107.14,1
TypeGallery_Length250_Width585_Size3room_LayoutB,Gallery,250,585,3room,B,57.14,107.14,1
TypeGallery_Length250_Width585_Size3room_LayoutC,Gallery,250,585,3room,C,57.14,107.14,1
TypeGallery_Length250_Width635_SizeStudio_LayoutA,Gallery,250,635,Studio,A,63.84,42.56,3
TypeGallery_Length250_Width635_SizeStudio_LayoutB,Gallery,250,635,Studio,B,63.84,42.56,3
TypeGallery_Length250_Width635_SizeStudio_LayoutC,Gallery,250,635,Studio,C,63.84,42.56,3
TypeGallery_Length250_Width635_Size2room_LayoutA,Gallery,250,635,2room,A,63.84,63.84,2
TypeGallery_Length250_Width635_Size2room_LayoutB,Gallery,250,635,2room,B,63.84,63.84,2
TypeGallery_Length250_Width635_Size2room_LayoutC,Gallery,250,635,2room,C,63.84,63.84,2
TypeGallery_Length250_Width635_Size3room_LayoutA,Gallery,250,635,3room,A,63.84,127.68,1
TypeGallery_Length250_Width635_Size3room_LayoutB,Gallery,250,635,3room,B,63.84,127.68,1
TypeGallery_Length250_Width635_Size3room_LayoutC,Gallery,250,635,3room,C,63.84,127.68,1
TypeGallery_Length250_Width685_SizeStudio_LayoutA,Gallery,250,685,Studio,A,64.71,45.83,3
TypeGallery_Length250_Width685_SizeStudio_LayoutB,Gallery,250,685,Studio,B,64.71,45.83,3
TypeGallery_Length250_Width685_SizeStudio_LayoutC,Gallery,250,685,Studio,C,64.71,45.83,3
TypeGallery_Length250_Width685_Size2room_LayoutA,Gallery,250,685,2room,A,64.71,68.75,2
TypeGallery_Length250_Width685_Size2room_LayoutB,Gallery,250,685,2room,B,64.71,68.75,2
TypeGallery_Length250_Width685_Size2room_LayoutC,Gallery,250,685,2room,C,64.71,68.75,2
TypeGallery_Length250_Width685_Size3room_LayoutA,Gallery,250,685,3room,A,64.71,137.5,1
TypeGallery_Length250_Width685_Size3room_LayoutB,Gallery,250,685,3room,B,64.71,137.5,1
TypeGallery_Length250_Width685_Size3room_LayoutC,Gallery,250,685,3room,C,64.71,137.5,1
TypeGallery_Length250_Width735_SizeStudio_LayoutA,Gallery,250,735,Studio,A,65.48,49.11,3
TypeGallery_Length250_Width735_SizeStudio_LayoutB,Gallery,250,735,Studio,B,65.48,49.11,3
TypeGallery_Length250_Width735_SizeStudio_LayoutC,Gallery,250,735,Studio,C,65.48,49.11,3
TypeGallery_Length250_Width735_Size2room_LayoutA,Gallery,250,735,2room,A,65.48,73.66,2
TypeGallery_Length250_Width735_Size2room_LayoutB,Gallery,250,735,2room,B,65.48,73.66,2
TypeGallery_Length250_Width735_Size2room_LayoutC,Gallery,250,735,2room,C,65.48,73.66,2
TypeGallery_Length250_Width735_Size3room_LayoutA,Gallery,250,735,3room,A,65.48,73.66,2
TypeGallery_Length250_Width735_Size3room_LayoutB,Gallery,250,735,3room,B,65.48,73.66,2
TypeGallery_Length250_Width735_Size3room_LayoutC,Gallery,250,735,3room,C,65.48,73.66,2
TypeGallery_Length275_Width535_SizeStudio_LayoutA,Gallery,275,535,Studio,A,58.29,56.11,2
TypeGallery_Length275_Width535_SizeStudio_LayoutB,Gallery,275,535,Studio,B,58.29,56.11,2
TypeGallery_Length275_Width535_SizeStudio_LayoutC,Gallery,275,535,Studio,C,58.29,56.11,2
TypeGallery_Length275_Width535_Size2room_LayoutA,Gallery,275,535,2room,A,58.29,56.11,2
TypeGallery_Length275_Width535_Size2room_LayoutB,Gallery,275,535,2room,B,58.29,56.11,2
TypeGallery_Length275_Width535_Size2room_LayoutC,Gallery,275,535,2room,C,58.29,56.11,2
TypeGallery_Length275_Width535_Size3room_LayoutA,Gallery,275,535,3room,A,58.29,112.22,1
TypeGallery_Length275_Width535_Size3room_LayoutB,Gallery,275,535,3room,B,58.29,112.22,1
TypeGallery_Length275_Width535_Size3room_LayoutC,Gallery,275,535,3room,C,58.29,112.22,1
TypeGallery_Length275_Width585_SizeStudio_LayoutA,Gallery,275,585,Studio,A,59.35,61.21,2
TypeGallery_Length275_Width585_SizeStudio_LayoutB,Gallery,275,585,Studio,B,59.35,61.21,2
TypeGallery_Length275_Width585_SizeStudio_LayoutC,Gallery,275,585,Studio,C,59.35,61.21,2
TypeGallery_Length275_Width585_Size2room_LayoutA,Gallery,275,585,2room,A,59.35,61.21,2
TypeGallery_Length275_Width585_Size2room_LayoutB,Gallery,275,585,2room,B,59.35,61.21,2
TypeGallery_Length275_Width585_Size2room_LayoutC,Gallery,275,585,2room,C,59.35,61.21,2
TypeGallery_Length275_Width585_Size3room_LayoutA,Gallery,275,585,3room,A,59.35,122.42,1
TypeGallery_Length275_Width585_Size3room_LayoutB,Gallery,275,585,3room,B,59.35,122.42,1
TypeGallery_Length275_Width585_Size3room_LayoutC,Gallery,275,585,3room,C,59.35,122.42,1
TypeGallery_Length275_Width635_SizeStudio_LayoutA,Gallery,275,635,Studio,A,65.52,48.05,3
TypeGallery_Length275_Width635_SizeStudio_LayoutB,Gallery,275,635,Studio,B,65.52,48.05,3
TypeGallery_Length275_Width635_SizeStudio_LayoutC,Gallery,275,635,Studio,C,65.52,48.05,3
TypeGallery_Length275_Width635_Size2room_LayoutA,Gallery,275,635,2room,A,65.52,72.08,2
TypeGallery_Length275_Width635_Size2room_LayoutB,Gallery,275,635,2room,B,65.52,72.08,2
TypeGallery_Length275_Width635_Size2room_LayoutC,Gallery,275,635,2room,C,65.52,72.08,2
TypeGallery_Length275_Width635_Size3room_LayoutA,Gallery,275,635,3room,A,65.52,144.15,1
TypeGallery_Length275_Width635_Size3room_LayoutB,Gallery,275,635,3room,B,65.52,144.15,1
TypeGallery_Length275_Width635_Size3room_LayoutC,Gallery,275,635,3room,C,65.52,144.15,1
TypeGallery_Length275_Width685_SizeStudio_LayoutA,Gallery,275,685,Studio,A,66.41,51.75,3
TypeGallery_Length275_Width685_SizeStudio_LayoutB,Gallery,275,685,Studio,B,66.41,51.75,3
TypeGallery_Length275_Width685_SizeStudio_LayoutC,Gallery,275,685,Studio,C,66.41,51.75,3
TypeGallery_Length275_Width685_Size2room_LayoutA,Gallery,275,685,2room,A,66.41,51.75,3
TypeGallery_Length275_Width685_Size2room_LayoutB,Gallery,275,685,2room,B,66.41,51.75,3
TypeGallery_Length275_Width685_Size2room_LayoutC,Gallery,275,685,2room,C,66.41,51.75,3
TypeGallery_Length275_Width685_Size3room_LayoutA,Gallery,275,685,3room,A,66.41,77.62,2
TypeGallery_Length275_Width685_Size3room_LayoutB,Gallery,275,685,3room,B,66.41,77.62,2
TypeGallery_Length275_Width685_Size3room_LayoutC,Gallery,275,685,3room,C,66.41,77.62,2
TypeGallery_Length275_Width735_SizeStudio_LayoutA,Gallery,275,735,Studio,A,67.2,41.58,4
TypeGallery_Length275_Width735_SizeStudio_LayoutB,Gallery,275,735,Studio,B,67.2,41.58,4
TypeGallery_Length275_Width735_SizeStudio_LayoutC,Gallery,275,735,Studio,C,67.2,41.58,4
TypeGallery_Length275_Width735_Size2room_LayoutA,Gallery,275,735,2room,A,67.2,55.44,3
TypeGallery_Length275_Width735_Size2room_LayoutB,Gallery,275,735,2room,B,67.2,55.44,3
TypeGallery_Length275_Width735_Size2room_LayoutC,Gallery,275,735,2room,C,67.2,55.44,3
TypeGallery_Length275_Width735_Size3room_LayoutA,Gallery,275,735,3room,A,67.2,83.17,2
TypeGallery_Length275_Width735_Size3room_LayoutB,Gallery,275,735,3room,B,67.2,83.17,2
TypeGallery_Length275_Width735_Size3room_LayoutC,Gallery,275,735,3room,C,67.2,83.17,2
TypeGallery_Length300_Width535_SizeStudio_LayoutA,Gallery,300,535,Studio,A,60.08,42.06,3
TypeGallery_Length300_Width535_SizeStudio_LayoutB,Gallery,300,535,Studio,B,60.08,42.06,3
TypeGallery_Length300_Width535_SizeStudio_LayoutC,Gallery,300,535,Studio,C,60.08,42.06,3
TypeGallery_Length300_Width535_Size2room_LayoutA,Gallery,300,535,2room,A,60.08,63.09,2
TypeGallery_Length300_Width535_Size2room_LayoutB,Gallery,300,535,2room,B,60.08,63.09,2
TypeGallery_Length300_Width535_Size2room_LayoutC,Gallery,300,535,2room,C,60.08,63.09,2
TypeGallery_Length300_Width535_Size3room_LayoutA,Gallery,300,535,3room,A,60.08,126.18,1
TypeGallery_Length300_Width535_Size3room_LayoutB,Gallery,300,535,3room,B,60.08,126.18,1
TypeGallery_Length300_Width535_Size3room_LayoutC,Gallery,300,535,3room,C,60.08,126.18,1
TypeGallery_Length300_Width585_SizeStudio_LayoutA,Gallery,300,585,Studio,A,61.18,45.88,3
TypeGallery_Length300_Width585_SizeStudio_LayoutB,Gallery,300,585,Studio,B,61.18,45.88,3
TypeGallery_Length300_Width585_SizeStudio_LayoutC,Gallery,300,585,Studio,C,61.18,45.88,3
TypeGallery_Length300_Width585_Size2room_LayoutA,Gallery,300,585,2room,A,61.18,68.82,2
TypeGallery_Length300_Width585_Size2room_LayoutB,Gallery,300,585,2room,B,61.18,68.82,2
TypeGallery_Length300_Width585_Size2room_LayoutC,Gallery,300,585,2room,C,61.18,68.82,2
TypeGallery_Length300_Width585_Size3room_LayoutA,Gallery,300,585,3room,A,61.18,137.65,1
TypeGallery_Length300_Width585_Size3room_LayoutB,Gallery,300,585,3room,B,61.18,137.65,1
TypeGallery_Length300_Width585_Size3room_LayoutC,Gallery,300,585,3room,C,61.18,137.65,1
TypeGallery_Length300_Width635_SizeStudio_LayoutA,Gallery,300,635,Studio,A,66.91,40.15,4
TypeGallery_Length300_Width635_SizeStudio_LayoutB,Gallery,300,635,Studio,B,66.91,40.15,4
TypeGallery_Length300_Width635_SizeStudio_LayoutC,Gallery,300,635,Studio,C,66.91,40.15,4
TypeGallery_Length300_Width635_Size2room_LayoutA,Gallery,300,635,2room,A,66.91,53.53,3
TypeGallery_Length300_Width635_Size2room_LayoutB,Gallery,300,635,2room,B,66.91,53.53,3
TypeGallery_Length300_Width635_Size2room_LayoutC,Gallery,300,635,2room,C,66.91,53.53,3
TypeGallery_Length300_Width635_Size3room_LayoutA,Gallery,300,635,3room,A,66.91,80.29,2
TypeGallery_Length300_Width635_Size3room_LayoutB,Gallery,300,635,3room,B,66.91,80.29,2
TypeGallery_Length300_Width635_Size3room_LayoutC,Gallery,300,635,3room,C,66.91,80.29,2
TypeGallery_Length300_Width685_SizeStudio_LayoutA,Gallery,300,685,Studio,A,67.82,43.24,4
TypeGallery_Length300_Width685_SizeStudio_LayoutB,Gallery,300,685,Studio,B,67.82,43.24,4
TypeGallery_Length300_Width685_SizeStudio_LayoutC,Gallery,300,685,Studio,C,67.82,43.24,4
TypeGallery_Length300_Width685_Size2room_LayoutA,Gallery,300,685,2room,A,67.82,57.65,3
TypeGallery_Length300_Width685_Size2room_LayoutB,Gallery,300,685,2room,B,67.82,57.65,3
TypeGallery_Length300_Width685_Size2room_LayoutC,Gallery,300,685,2room,C,67.82,57.65,3
TypeGallery_Length300_Width685_Size3room_LayoutA,Gallery,300,685,3room,A,67.82,86.47,2
TypeGallery_Length300_Width685_Size3room_LayoutB,Gallery,300,685,3room,B,67.82,86.47,2
TypeGallery_Length300_Width685_Size3room_LayoutC,Gallery,300,685,3room,C,67.82,86.47,2
TypeGallery_Length300_Width735_SizeStudio_LayoutA,Gallery,300,735,Studio,A,68.63,46.32,4
TypeGallery_Length300_Width735_SizeStudio_LayoutB,Gallery,300,735,Studio,B,68.63,46.32,4
TypeGallery_Length300_Width735_SizeStudio_LayoutC,Gallery,300,735,Studio,C,68.63,46.32,4
TypeGallery_Length300_Width735_Size2room_LayoutA,Gallery,300,735,2room,A,68.63,61.76,3
TypeGallery_Length300_Width735_Size2room_LayoutB,Gallery,300,735,2room,B,68.63,61.76,3
TypeGallery_Length300_Width735_Size2room_LayoutC,Gallery,300,735,2room,C,68.63,61.76,3
TypeGallery_Length300_Width735_Size3room_LayoutA,Gallery,300,735,3room,A,68.63,92.65,2
TypeGallery_Length300_Width735_Size3room_LayoutB,Gallery,300,735,3room,B,68.63,92.65,2
TypeGallery_Length300_Width735_Size3room_LayoutC,Gallery,300,735,3room,C,68.63,92.65,2
