flyID,in:Type,in:Length,in:Width,in:Size,in:Layout,out:Efficiency,out:AptSize,out:AptCount
TypeCentral_Length225_Width585_SizeStudio_LayoutC,Central,225,585,Studio,C,73.8,46.49,5
TypeCentral_Length225_Width585_Size2room_LayoutA,Central,225,585,2room,A,73.8,77.49,3
TypeCentral_Length225_Width585_Size2room_LayoutB,Central,225,585,2room,B,73.8,77.49,3
TypeCentral_Length225_Width585_Size2room_LayoutC,Central,225,585,2room,C,73.8,77.49,3
TypeCentral_Length225_Width585_Size3room_LayoutA,Central,225,585,3room,A,73.8,116.23,2
TypeCentral_Length225_Width585_Size3room_LayoutB,Central,225,585,3room,B,73.8,116.23,2
TypeCentral_Length225_Width585_Size3room_LayoutC,Central,225,585,3room,C,73.8,116.23,2
TypeCentral_Length225_Width635_SizeStudio_LayoutA,Central,225,635,Studio,A,78.03,52.67,5
TypeCentral_Length225_Width635_SizeStudio_LayoutB,Central,225,635,Studio,B,78.03,52.67,5
TypeCentral_Length225_Width635_SizeStudio_LayoutC,Central,225,635,Studio,C,78.03,52.67,5
TypeCentral_Length225_Width635_Size2room_LayoutA,Central,225,635,2room,A,78.03,65.84,4
TypeCentral_Length225_Width635_Size2room_LayoutB,Central,225,635,2room,B,78.03,65.84,4
TypeCentral_Length225_Width635_Size2room_LayoutC,Central,225,635,2room,C,78.03,65.84,4
TypeCentral_Length225_Width635_Size3room_LayoutA,Central,225,635,3room,A,78.03,87.78,3
TypeCentral_Length225_Width635_Size3room_LayoutB,Central,225,635,3room,B,78.03,87.78,3
TypeCentral_Length225_Width635_Size3room_LayoutC,Central,225,635,3room,C,78.03,87.78,3
TypeCentral_Length225_Width685_SizeStudio_LayoutA,Central,225,685,Studio,A,78.65,47.19,6
TypeCentral_Length225_Width685_SizeStudio_LayoutB,Central,225,685,Studio,B,78.65,47.19,6
TypeCentral_Length225_Width685_SizeStudio_LayoutC,Central,225,685,Studio,C,78.65,47.19,6
TypeCentral_Length225_Width685_Size2room_LayoutA,Central,225,685,2room,A,78.65,56.63,5
TypeCentral_Length225_Width685_Size2room_LayoutB,Central,225,685,2room,B,78.65,56.63,5
TypeCentral_Length225_Width685_Size2room_LayoutC,Central,225,685,2room,C,78.65,56.63,5
TypeCentral_Length225_Width685_Size3room_LayoutA,Central,225,685,3room,A,78.65,94.38,3
TypeCentral_Length225_Width685_Size3room_LayoutB,Central,225,685,3room,B,78.65,94.38,3
TypeCentral_Length225_Width685_Size3room_LayoutC,Central,225,685,3room,C,78.65,94.38,3
TypeCentral_Length225_Width735_SizeStudio_LayoutA,Central,225,735,Studio,A,79.2,50.49,6
