flyID;in:A2;in:B2;in:B4;in:TA2high;in:TA2low;in:A1;in:TB1;in:TB3;out:OutTotalOpbrengstenConv;out:OutprofitpercConv;out:OutprofitpercbarsetPlus1;out:OutTotalOpbrengstenbarsetPlus1;out:OutTotalOpbrengstenbarset;out:Outprofitpercbarset;out:OutTotalOpbrengstenbarsetMinus1;out:OutprofitpercbarsetMinus1;out:TotalKosten;out:bouwkosten;out:TotalAptAmount;out:TotalBVOCommercial;out:TotalBVOCarStorage;out:TotalGOSocialSpaces;out:TotalBVOBikeStorage;out:TotalBVOwonen;out:TotalBVOinclloggia;out:TotalBVOexclloggia;out:BVOloggia;out:TotalGO;out:GOBVOratio;out:SStudentperc;out:S2kamerperc;out:S3kamerperc;out:M2kamerperc;out:M3kamerperc;out:M2kamerhperc;out:M3kamerhperc;out:M4kamerhperc;out:V3kamerkperc;out:V4kamerkperc;out:VGGBkperc;out:SStudioperc;out:V5kamerkperc;out:socialperc;out:midperc;out:vrijperc;out:AvgGOSStudent;out:AvgGOS2kamer;out:AvgGOS3kamer;out:AvgGOM2kamer;out:AvgGOM3kamer;out:AvgGOM2kamerh;out:AvgGOM3kamerh;out:AvgGOM4kamerh;out:AvgGOV3kamerk;out:AvgGOV4kamerk;out:AvgGOVGGBk;out:AvgGOSStudio;out:AvgGOV5kamerk;out:socialAvgGO;out:midAvgGO;out:vrijAvgGO;out:parkingsurplus;out:parkingavailable;out:parkingrequired;out:TotalBVOCarParkingSurplus;out:fietssurplus;out:fietsavailable;out:fietsrequired
A2375Social_B254Social_B4375Social_TA2highp1Vrijk_TA2lowp2Vrijk_A1p2Vrijk_TB1Mh_TB3Mh;375Social;54Social;375Social;p1Vrijk;p2Vrijk;p2Vrijk;Mh;Mh;145.2;-10;-87;21.1;21.6;-87;22.1;-86;161.9;102.7;718;4514;15317;271;2060;48543;50886;47884;3002;33910;0.7;26.2;14.6;4.2;0.3;0.6;3.5;8.1;11;10.3;5.4;2.2;11.6;2.1;55;23;22;23;40;55;50;49;51;55;65;59;75;157;28;112;31;59;82;47.6;394;346.4;3193;102;1956;1854
A2375Social_B254Social_B4375Social_TA2highp1Vrijk_TA2lowp2Vrijk_A1p2Vrijk_TB1Mh_TB3MVh;375Social;54Social;375Social;p1Vrijk;p2Vrijk;p2Vrijk;Mh;MVh;145.7;-10;-87;21.1;21.6;-87;22.1;-86;162.1;102.9;718;4514;15317;271;2060;48543;50886;47884;3002;33910;0.7;26.2;14.6;4.2;0.3;0.6;3.5;8.1;8.4;13;5.4;2.2;11.6;2.1;54;21;25;23;40;55;50;49;51;55;64;61;75;157;28;112;31;58;81;47.6;394;346.4;3193;102;1956;1854
A2375Social_B254Social_B4375Social_TA2highp2Vrijk_TA2lowp1Vrijk_A1p1Vrijk_TB1Mh_TB3Mh;375Social;54Social;375Social;p2Vrijk;p1Vrijk;p1Vrijk;Mh;Mh;144.1;-10;-87;20.9;21.6;-86;21.9;-86;159.9;101.2;695;4514;15317;271;2060;48018;50361;47449;2912;33584;0.7;27.1;15.1;4.3;0.3;0.6;3.6;8.3;11.4;3.9;4.5;2.3;11.9;6.8;52;24;24;23;40;55;50;49;51;55;65;56;78;157;28;101;31;59;94;53.2;394;340.8;3389;152;1956;1804
A2375Social_B254Social_B4375Social_TA2highp2Vrijk_TA2lowp1Vrijk_A1p1Vrijk_TB1Mh_TB3MVh;375Social;54Social;375Social;p2Vrijk;p1Vrijk;p1Vrijk;Mh;MVh;144.6;-10;-87;20.9;21.6;-87;21.9;-86;160.1;101.4;695;4514;15317;271;2060;48018;50361;47449;2912;33584;0.7;27.1;15.1;4.3;0.3;0.6;3.6;8.3;8.6;6.6;4.5;2.3;11.9;6.8;52;21;27;23;40;55;50;49;51;55;64;60;78;157;28;101;31;58;92;53.2;394;340.8;3389;152;1956;1804
A2375Social_B254Social_B4375Social_TA2highp2Vrijk_TA2lowp1Vrijk_A1p2Vrijk_TB1Mh_TB3Mh;375Social;54Social;375Social;p2Vrijk;p1Vrijk;p2Vrijk;Mh;Mh;146;-9;-87;21;21.6;-87;21.9;-86;161.3;102.3;699;4514;15317;271;2060;48572;50915;47963;2952;34017;0.7;26.9;15;4.3;0.3;0.6;3.6;8.3;11.3;3.3;5.6;2.3;11.9;6.7;52;24;24;23;40;55;50;49;51;55;65;53;78;157;28;103;31;59;95;50.8;394;343.2;3305;128;1956;1828
A2375Social_B254Social_B4375Social_TA2highp2Vrijk_TA2lowp1Vrijk_A1p2Vrijk_TB1Mh_TB3MVh;375Social;54Social;375Social;p2Vrijk;p1Vrijk;p2Vrijk;Mh;MVh;146.5;-9;-87;21;21.6;-87;22;-86;161.6;102.5;699;4514;15317;271;2060;48572;50915;47963;2952;34017;0.7;26.9;15;4.3;0.3;0.6;3.6;8.3;8.6;6;5.6;2.3;11.9;6.7;52;21;27;23;40;55;50;49;51;55;64;60;78;157;28;103;31;58;92;50.8;394;343.2;3305;128;1956;1828
A2375Social_B254Social_B4375Social_TA2highp2Vrijk_TA2lowp2Vrijk_A1p1Vrijk_TB1Mh_TB3Mh;375Social;54Social;375Social;p2Vrijk;p2Vrijk;p1Vrijk;Mh;Mh;144.3;-10;-87;20.8;21.6;-86;21.8;-86;159.7;101.1;688;4514;15317;271;2060;48026;50369;47485;2884;33639;0.7;27.3;15.3;4.4;0.3;0.6;3.6;8.4;11.5;1.9;4.5;2.3;12.1;7.8;52;24;24;23;40;55;50;49;51;55;65;67;79;157;28;100;31;59;99;55.6;394;338.4;3473;152;1956;1804
A2375Social_B254Social_B4375Social_TA2highp2Vrijk_TA2lowp2Vrijk_A1p1Vrijk_TB1Mh_TB3MVh;375Social;54Social;375Social;p2Vrijk;p2Vrijk;p1Vrijk;Mh;MVh;144.9;-9;-87;20.8;21.6;-86;21.8;-86;159.9;101.2;688;4514;15317;271;2060;48026;50369;47485;2884;33639;0.7;27.3;15.3;4.4;0.3;0.6;3.6;8.4;8.7;4.7;4.5;2.3;12.1;7.8;51;22;27;23;40;55;50;49;51;55;64;67;79;157;28;100;31;58;96;55.6;394;338.4;3473;152;1956;1804
A2375Social_B254Social_B4375Social_TA2highp2Vrijk_TA2lowp2Vrijk_A1p2Vrijk_TB1Mh_TB3Mh;375Social;54Social;375Social;p2Vrijk;p2Vrijk;p2Vrijk;Mh;Mh;146.3;-9;-87;20.9;21.6;-87;21.9;-86;161.2;102.2;692;4514;15317;271;2060;48580;50923;47999;2924;34073;0.7;27.2;15.2;4.3;0.3;0.6;3.6;8.4;11.4;1.3;5.6;2.3;12;7.8;51;24;25;23;40;55;50;49;51;55;65;66;78;157;28;102;31;59;100;52.4;394;341.6;3361;128;1956;1828
A2375Social_B254Social_B4375Social_TA2highp2Vrijk_TA2lowp2Vrijk_A1p2Vrijk_TB1Mh_TB3MVh;375Social;54Social;375Social;p2Vrijk;p2Vrijk;p2Vrijk;Mh;MVh;146.8;-9;-87;20.9;21.6;-87;21.9;-86;161.5;102.4;692;4514;15317;271;2060;48580;50923;47999;2924;34073;0.7;27.2;15.2;4.3;0.3;0.6;3.6;8.4;8.7;4;5.6;2.3;12;7.8;51;22;27;23;40;55;50;49;51;55;64;67;78;157;28;102;31;58;96;52.4;394;341.6;3361;128;1956;1828
