,flyID,in:PnlWidth,in:SillP,in:SillA,in:OpenEW,in:OpenNS,in:ExtP,in:ExtAEW,in:Mat,in:Glaz,out:CoEqTotal,out:CoEqYear,out:TotalKwh,out:PerMKwh,out:FramesTyp,out:FramesAtyp,out:SpaceInt,out:SpaceExt,out:MinStreefPent,out:MinStreefApt,out:StreefPent,out:StreefApt
20,PnlWidth22_SillPA_SillAA_OpenEWMax_OpenNSMed_ExtPBalc_ExtAEWLog_MatA_GlazA,22,A,A,Max,Med,Balc,Log,A,A,129000,143864,319698,63.84,380,388,451.56,5007.6,62.3,55.2,32.0,43.9
21,PnlWidth22_SillPA_SillAA_OpenEWMax_OpenNSMed_ExtPBalc_ExtAEWLog_MatA_GlazB,22,A,A,Max,Med,Balc,Log,A,B,136100,131003,291117,58.14,380,388,451.56,5007.6,62.3,55.2,32.0,43.9
22,PnlWidth22_SillPA_SillAA_OpenEWMax_OpenNSMed_ExtPBalc_ExtAEWLog_MatB_GlazA,22,A,A,Max,Med,Balc,Log,B,A,157900,138447,307659,61.44,380,388,451.56,5007.6,62.3,55.2,32.0,43.9
23,PnlWidth22_SillPA_SillAA_OpenEWMax_OpenNSMed_ExtPBalc_ExtAEWLog_MatB_GlazB,22,A,A,Max,Med,Balc,Log,B,B,165000,125585,279078,55.73,380,388,451.56,5007.6,62.3,55.2,32.0,43.9
24,PnlWidth22_SillPA_SillAA_OpenEWMax_OpenNSMed_ExtPLog_ExtAEWBalc_MatA_GlazA,22,A,A,Max,Med,Log,Balc,A,A,127600,140219,311598,61.19,308,388,479.72,5092.08,59.5,48.6,26.3,35.8
25,PnlWidth22_SillPA_SillAA_OpenEWMax_OpenNSMed_ExtPLog_ExtAEWBalc_MatA_GlazB,22,A,A,Max,Med,Log,Balc,A,B,134800,127358,283017,55.58,308,388,479.72,5092.08,59.5,48.6,26.3,35.8
26,PnlWidth22_SillPA_SillAA_OpenEWMax_OpenNSMed_ExtPLog_ExtAEWBalc_MatB_GlazA,22,A,A,Max,Med,Log,Balc,B,A,152600,135531,301179,59.15,308,388,479.72,5092.08,59.5,48.6,26.3,35.8
27,PnlWidth22_SillPA_SillAA_OpenEWMax_OpenNSMed_ExtPLog_ExtAEWBalc_MatB_GlazB,22,A,A,Max,Med,Log,Balc,B,B,159800,122669,272598,53.53,308,388,479.72,5092.08,59.5,48.6,26.3,35.8
28,PnlWidth22_SillPA_SillAA_OpenEWMax_OpenNSMed_ExtPLog_ExtAEWLog_MatA_GlazA,22,A,A,Max,Med,Log,Log,A,A,129100,144269,320598,64.29,388,388,444.52,4986.48,59.3,55.3,25.9,43.8
29,PnlWidth22_SillPA_SillAA_OpenEWMax_OpenNSMed_ExtPLog_ExtAEWLog_MatA_GlazB,22,A,A,Max,Med,Log,Log,A,B,136200,131408,292017,58.56,388,388,444.52,4986.48,59.3,55.3,25.9,43.8
30,PnlWidth22_SillPA_SillAA_OpenEWMax_OpenNSMed_ExtPLog_ExtAEWLog_MatB_GlazA,22,A,A,Max,Med,Log,Log,B,A,158400,138771,308379,61.84,388,388,444.52,4986.48,59.3,55.3,25.9,43.8
31,PnlWidth22_SillPA_SillAA_OpenEWMax_OpenNSMed_ExtPLog_ExtAEWLog_MatB_GlazB,22,A,A,Max,Med,Log,Log,B,B,165500,125909,279798,56.11,388,388,444.52,4986.48,59.3,55.3,25.9,43.8
32,PnlWidth22_SillPA_SillAA_OpenEWMed_OpenNSMax_ExtPBalc_ExtAEWBalc_MatA_GlazA,22,A,A,Med,Max,Balc,Balc,A,A,127900,140375,311945,61.01,300,388,486.76,5113.2,63.2,46.1,31.5,32.2
33,PnlWidth22_SillPA_SillAA_OpenEWMed_OpenNSMax_ExtPBalc_ExtAEWBalc_MatA_GlazB,22,A,A,Med,Max,Balc,Balc,A,B,135200,127193,282652,55.28,300,388,486.76,5113.2,63.2,46.1,31.5,32.2
34,PnlWidth22_SillPA_SillAA_OpenEWMed_OpenNSMax_ExtPBalc_ExtAEWBalc_MatB_GlazA,22,A,A,Med,Max,Balc,Balc,B,A,152000,135848,301884,59.04,300,388,486.76,5113.2,63.2,46.1,31.5,32.2
35,PnlWidth22_SillPA_SillAA_OpenEWMed_OpenNSMax_ExtPBalc_ExtAEWBalc_MatB_GlazB,22,A,A,Med,Max,Balc,Balc,B,B,159300,122666,272591,53.31,300,388,486.76,5113.2,63.2,46.1,31.5,32.2
36,PnlWidth22_SillPA_SillAA_OpenEWMed_OpenNSMax_ExtPBalc_ExtAEWLog_MatA_GlazA,22,A,A,Med,Max,Balc,Log,A,A,129300,144425,320945,64.09,380,388,451.56,5007.6,63.2,53.4,31.7,41.2
37,PnlWidth22_SillPA_SillAA_OpenEWMed_OpenNSMax_ExtPBalc_ExtAEWLog_MatA_GlazB,22,A,A,Med,Max,Balc,Log,A,B,136600,131243,291652,58.24,380,388,451.56,5007.6,63.2,53.4,31.7,41.2
38,PnlWidth22_SillPA_SillAA_OpenEWMed_OpenNSMax_ExtPBalc_ExtAEWLog_MatB_GlazA,22,A,A,Med,Max,Balc,Log,B,A,157800,139088,309084,61.72,380,388,451.56,5007.6,63.2,53.4,31.7,41.2
39,PnlWidth22_SillPA_SillAA_OpenEWMed_OpenNSMax_ExtPBalc_ExtAEWLog_MatB_GlazB,22,A,A,Med,Max,Balc,Log,B,B,165100,125906,279791,55.87,380,388,451.56,5007.6,63.2,53.4,31.7,41.2
40,PnlWidth22_SillPA_SillAA_OpenEWMed_OpenNSMax_ExtPLog_ExtAEWBalc_MatA_GlazA,22,A,A,Med,Max,Log,Balc,A,A,127900,140780,312845,61.44,308,388,479.72,5092.08,60.1,46.8,25.0,32.5
41,PnlWidth22_SillPA_SillAA_OpenEWMed_OpenNSMax_ExtPLog_ExtAEWBalc_MatA_GlazB,22,A,A,Med,Max,Log,Balc,A,B,135300,127598,283552,55.68,308,388,479.72,5092.08,60.1,46.8,25.0,32.5
42,PnlWidth22_SillPA_SillAA_OpenEWMed_OpenNSMax_ExtPLog_ExtAEWBalc_MatB_GlazA,22,A,A,Med,Max,Log,Balc,B,A,152500,136172,302604,59.43,308,388,479.72,5092.08,60.1,46.8,25.0,32.5
